nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800210692,GRUPO FAGAR SAS,SUPERSOCIEDADES,Costa Atlántica,SAN ANDRES Y PROVIDENCIA,SAN ANDRES-SAN ANDRES Y PROVIDENCIA,4711,COMERCIO,0.02,0,0.02,0.01,0.01,2022,23391888.622931004
800210734,IINVERAGRO SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,GIRON-SANTANDER,4664,COMERCIO,0.06,0,0.06,0.04,0.01,2022,1985692.4276839998
800210864,JADESI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,SOACHA-CUNDINAMARCA,2029,MANUFACTURA,0.04,-0,0.06,0.04,0.02,2022,42415171.254237995
800210865,MULTIPARQUE CREATIVO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,9321,SERVICIOS,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800211365,MINERVA MEDICAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.03,0,0.04,0.02,0.02,2022,42415171.254237995
800211401,OUTSOURCING SERVICIOS INFORMATICOS SAS BIC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8220,SERVICIOS,0.23,0,0.08,0.03,0.04,2022,42415171.254237995
800211643,PRODUCTORA DE CONCENTRADOS CAMPEON LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FACATATIVA-CUNDINAMARCA,1090,MANUFACTURA,0.02,0,0.01,0,0.01,2022,42415171.254237995
800211858,IMPORTADORA LATINA SAS,SUPERSOCIEDADES,Eje Cafetero,QUINDIO,ARMENIA-QUINDIO,4754,COMERCIO,0.02,0,0,0,0,2022,3307741.356668
800211883,MINA LA MARGARITA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,510,MINERO,0.03,0.01,0.02,0.01,0.01,2022,12390714.682238001
800212240,CILES S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2750,MANUFACTURA,0.03,0,0.03,0.01,0.02,2022,12390714.682238001
800212422,CLINICA FARALLONES S A,SUPERSALUD,Costa Pacífica,VALLE,CALI-VALLE,8610,SERVICIOS,0.12,-0.01,0.16,0.16,-0,2022,25103649.530394
800212777,TESERACT SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6209,SERVICIOS,0.02,0,0.02,0,0.01,2022,42415171.254237995
800212840,L’ORÉAL COLOMBIA S. A. CO,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.41,0.01,0.44,0.22,0.22,2022,42415171.254237995
800213075,RESTCAFE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5611,SERVICIOS,0.07,-0,0.09,0.09,0,2022,42415171.254237995
800213488,MULTIAGRO SAS,SUPERSOCIEDADES,Costa Pacífica,CAUCA,POPAYAN-CAUCA,4620,COMERCIO,0.03,0,0.01,0,0,2022,25103649.530394
800213511,ESPECIALIDADES OFTALMOLOGICAS SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2100,MANUFACTURA,0.08,0.02,0.06,0.01,0.05,2022,12390714.682238001
